,question,label
380,범죄단체 등의 조직는 어떤 행위를 하면 성립하나요?,범죄단체 등의 조직
381,범죄단체 등의 조직가 성립하지 않는 경우도 있나요?,범죄단체 등의 조직
382,피해자가 원하지 않아도 범죄단체 등의 조직로 처벌되나요?,범죄단체 등의 조직
383,소요에 대해 설명해 주세요.,소요
384,소요는 어떤 행위를 하면 성립하나요?,소요
385,소요는 실수로 해도 처벌되나요?,소요
386,다중불해산에 대한 처벌 수위는 어떻게 되나요?,다중불해산
387,다중불해산에 해당하는 구체적인 예시가 있을까요?,다중불해산
388,다중불해산가 성립하지 않는 경우도 있나요?,다중불해산
389,피해자가 원하지 않아도 전시공수계약불이행로 처벌되나요?,전시공수계약불이행
390,전시공수계약불이행가 성립하지 않는 경우도 있나요?,전시공수계약불이행
391,전시공수계약불이행는 실수로 해도 처벌되나요?,전시공수계약불이행
392,공무원자격의 사칭는 어떤 행위를 하면 성립하나요?,공무원자격의 사칭
393,공무원자격의 사칭에 대한 처벌 수위는 어떻게 되나요?,공무원자격의 사칭
394,공무원자격의 사칭는 실수로 해도 처벌되나요?,공무원자격의 사칭
395,폭발물 사용에 대해 설명해 주세요.,폭발물 사용
396,폭발물 사용가 적용되는 조건은 무엇인가요?,폭발물 사용
397,폭발물 사용는 실수로 해도 처벌되나요?,폭발물 사용
398,"예비, 음모, 선동에 대해 설명해 주세요.","예비, 음모, 선동"
399,"예비, 음모, 선동에 해당하는 구체적인 예시가 있을까요?","예비, 음모, 선동"
400,"예비, 음모, 선동가 성립하지 않는 경우도 있나요?","예비, 음모, 선동"
401,전시폭발물제조 등에 해당하는 구체적인 예시가 있을까요?,전시폭발물제조 등
402,전시폭발물제조 등는 실수로 해도 처벌되나요?,전시폭발물제조 등
403,피해자가 원하지 않아도 전시폭발물제조 등로 처벌되나요?,전시폭발물제조 등
404,직무유기에 대한 처벌 수위는 어떻게 되나요?,직무유기
405,직무유기는 실수로 해도 처벌되나요?,직무유기
406,직무유기는 어떤 행위를 하면 성립하나요?,직무유기
407,직권남용가 성립하지 않는 경우도 있나요?,직권남용
408,직권남용는 실수로 해도 처벌되나요?,직권남용
409,직권남용에 대해 설명해 주세요.,직권남용
410,"불법체포, 불법감금에 해당하는 구체적인 예시가 있을까요?","불법체포, 불법감금"
411,"불법체포, 불법감금가 적용되는 조건은 무엇인가요?","불법체포, 불법감금"
412,"피해자가 원하지 않아도 불법체포, 불법감금로 처벌되나요?","불법체포, 불법감금"
413,"피해자가 원하지 않아도 폭행, 가혹행위로 처벌되나요?","폭행, 가혹행위"
414,"폭행, 가혹행위가 성립하지 않는 경우도 있나요?","폭행, 가혹행위"
415,"폭행, 가혹행위에 대한 처벌 수위는 어떻게 되나요?","폭행, 가혹행위"
416,피의사실공표에 대한 처벌 수위는 어떻게 되나요?,피의사실공표
417,피의사실공표는 실수로 해도 처벌되나요?,피의사실공표
418,피해자가 원하지 않아도 피의사실공표로 처벌되나요?,피의사실공표
419,공무상 비밀의 누설가 성립하지 않는 경우도 있나요?,공무상 비밀의 누설
420,공무상 비밀의 누설에 대한 처벌 수위는 어떻게 되나요?,공무상 비밀의 누설
421,공무상 비밀의 누설가 적용되는 조건은 무엇인가요?,공무상 비밀의 누설
422,선거방해에 해당하는 구체적인 예시가 있을까요?,선거방해
423,선거방해에 대해 설명해 주세요.,선거방해
424,선거방해에 대한 처벌 수위는 어떻게 되나요?,선거방해
425,"수뢰, 사전수뢰에 대한 처벌 수위는 어떻게 되나요?","수뢰, 사전수뢰"
426,"수뢰, 사전수뢰는 어떤 행위를 하면 성립하나요?","수뢰, 사전수뢰"
427,"수뢰, 사전수뢰가 성립하지 않는 경우도 있나요?","수뢰, 사전수뢰"
428,제삼자뇌물제공에 대해 설명해 주세요.,제삼자뇌물제공
429,제삼자뇌물제공에 해당하는 구체적인 예시가 있을까요?,제삼자뇌물제공
430,제삼자뇌물제공는 실수로 해도 처벌되나요?,제삼자뇌물제공
431,"수뢰후부정처사, 사후수뢰가 적용되는 조건은 무엇인가요?","수뢰후부정처사, 사후수뢰"
432,"피해자가 원하지 않아도 수뢰후부정처사, 사후수뢰로 처벌되나요?","수뢰후부정처사, 사후수뢰"
433,"수뢰후부정처사, 사후수뢰는 어떤 행위를 하면 성립하나요?","수뢰후부정처사, 사후수뢰"
434,알선수뢰가 적용되는 조건은 무엇인가요?,알선수뢰
435,피해자가 원하지 않아도 알선수뢰로 처벌되나요?,알선수뢰
436,알선수뢰는 실수로 해도 처벌되나요?,알선수뢰
437,뇌물공여 등가 성립하지 않는 경우도 있나요?,뇌물공여 등
438,뇌물공여 등는 실수로 해도 처벌되나요?,뇌물공여 등
439,뇌물공여 등는 어떤 행위를 하면 성립하나요?,뇌물공여 등
440,"몰수, 추징는 실수로 해도 처벌되나요?","몰수, 추징"
441,"몰수, 추징가 적용되는 조건은 무엇인가요?","몰수, 추징"
442,"몰수, 추징에 대한 처벌 수위는 어떻게 되나요?","몰수, 추징"
443,공무원의 직무상 범죄에 대한 형의 가중에 대한 처벌 수위는 어떻게 되나요?,공무원의 직무상 범죄에 대한 형의 가중
444,피해자가 원하지 않아도 공무원의 직무상 범죄에 대한 형의 가중로 처벌되나요?,공무원의 직무상 범죄에 대한 형의 가중
445,공무원의 직무상 범죄에 대한 형의 가중가 적용되는 조건은 무엇인가요?,공무원의 직무상 범죄에 대한 형의 가중
446,공무집행방해는 실수로 해도 처벌되나요?,공무집행방해
447,공무집행방해가 적용되는 조건은 무엇인가요?,공무집행방해
448,공무집행방해는 어떤 행위를 하면 성립하나요?,공무집행방해
449,위계에 의한 공무집행방해는 어떤 행위를 하면 성립하나요?,위계에 의한 공무집행방해
450,위계에 의한 공무집행방해가 성립하지 않는 경우도 있나요?,위계에 의한 공무집행방해
451,위계에 의한 공무집행방해에 해당하는 구체적인 예시가 있을까요?,위계에 의한 공무집행방해
452,법정 또는 국회회의장모욕가 성립하지 않는 경우도 있나요?,법정 또는 국회회의장모욕
453,법정 또는 국회회의장모욕에 대해 설명해 주세요.,법정 또는 국회회의장모욕
454,피해자가 원하지 않아도 법정 또는 국회회의장모욕로 처벌되나요?,법정 또는 국회회의장모욕
455,인권옹호직무방해는 어떤 행위를 하면 성립하나요?,인권옹호직무방해
456,피해자가 원하지 않아도 인권옹호직무방해로 처벌되나요?,인권옹호직무방해
457,인권옹호직무방해에 대해 설명해 주세요.,인권옹호직무방해
458,공무상비밀표시무효가 성립하지 않는 경우도 있나요?,공무상비밀표시무효
459,공무상비밀표시무효가 적용되는 조건은 무엇인가요?,공무상비밀표시무효
460,공무상비밀표시무효는 실수로 해도 처벌되나요?,공무상비밀표시무효
461,"공용서류 등의 무효, 공용물의 파괴는 어떤 행위를 하면 성립하나요?","공용서류 등의 무효, 공용물의 파괴"
462,"공용서류 등의 무효, 공용물의 파괴에 해당하는 구체적인 예시가 있을까요?","공용서류 등의 무효, 공용물의 파괴"
463,"공용서류 등의 무효, 공용물의 파괴는 실수로 해도 처벌되나요?","공용서류 등의 무효, 공용물의 파괴"
464,공무상 보관물의 무효는 어떤 행위를 하면 성립하나요?,공무상 보관물의 무효
465,공무상 보관물의 무효가 성립하지 않는 경우도 있나요?,공무상 보관물의 무효
466,공무상 보관물의 무효는 실수로 해도 처벌되나요?,공무상 보관물의 무효
469,미수범에 대해 설명해 주세요.,미수범
470,특수공무방해는 실수로 해도 처벌되나요?,특수공무방해
471,피해자가 원하지 않아도 특수공무방해로 처벌되나요?,특수공무방해
472,특수공무방해가 성립하지 않는 경우도 있나요?,특수공무방해
473,"도주, 집합명령위반는 어떤 행위를 하면 성립하나요?","도주, 집합명령위반"
474,"피해자가 원하지 않아도 도주, 집합명령위반로 처벌되나요?","도주, 집합명령위반"
475,"도주, 집합명령위반에 대한 처벌 수위는 어떻게 되나요?","도주, 집합명령위반"
476,특수도주에 대한 처벌 수위는 어떻게 되나요?,특수도주
477,특수도주는 어떤 행위를 하면 성립하나요?,특수도주
478,특수도주가 성립하지 않는 경우도 있나요?,특수도주
479,도주원조에 대해 설명해 주세요.,도주원조
480,도주원조가 성립하지 않는 경우도 있나요?,도주원조
481,피해자가 원하지 않아도 도주원조로 처벌되나요?,도주원조
482,간수자의 도주원조에 해당하는 구체적인 예시가 있을까요?,간수자의 도주원조
483,간수자의 도주원조에 대한 처벌 수위는 어떻게 되나요?,간수자의 도주원조
484,간수자의 도주원조에 대해 설명해 주세요.,간수자의 도주원조
485,미수범가 적용되는 조건은 무엇인가요?,미수범
487,미수범는 어떤 행위를 하면 성립하나요?,미수범
488,"예비, 음모는 실수로 해도 처벌되나요?","예비, 음모"
489,"예비, 음모가 적용되는 조건은 무엇인가요?","예비, 음모"
490,"예비, 음모는 어떤 행위를 하면 성립하나요?","예비, 음모"
491,범인은닉과 친족간의 특례에 대한 처벌 수위는 어떻게 되나요?,범인은닉과 친족간의 특례
492,범인은닉과 친족간의 특례에 대해 설명해 주세요.,범인은닉과 친족간의 특례
493,피해자가 원하지 않아도 범인은닉과 친족간의 특례로 처벌되나요?,범인은닉과 친족간의 특례
494,"위증, 모해위증는 어떤 행위를 하면 성립하나요?","위증, 모해위증"
495,"위증, 모해위증에 대한 처벌 수위는 어떻게 되나요?","위증, 모해위증"
496,"위증, 모해위증가 성립하지 않는 경우도 있나요?","위증, 모해위증"
497,"자백, 자수는 어떤 행위를 하면 성립하나요?","자백, 자수"
498,"자백, 자수에 대한 처벌 수위는 어떻게 되나요?","자백, 자수"
499,"자백, 자수에 해당하는 구체적인 예시가 있을까요?","자백, 자수"
500,"피해자가 원하지 않아도 허위의 감정, 통역, 번역로 처벌되나요?","허위의 감정, 통역, 번역"
501,"허위의 감정, 통역, 번역가 적용되는 조건은 무엇인가요?","허위의 감정, 통역, 번역"
502,"허위의 감정, 통역, 번역는 실수로 해도 처벌되나요?","허위의 감정, 통역, 번역"
503,증거인멸 등과 친족간의 특례에 해당하는 구체적인 예시가 있을까요?,증거인멸 등과 친족간의 특례
504,증거인멸 등과 친족간의 특례가 적용되는 조건은 무엇인가요?,증거인멸 등과 친족간의 특례
505,증거인멸 등과 친족간의 특례에 대한 처벌 수위는 어떻게 되나요?,증거인멸 등과 친족간의 특례
506,피해자가 원하지 않아도 무고로 처벌되나요?,무고
507,무고가 적용되는 조건은 무엇인가요?,무고
508,무고에 해당하는 구체적인 예시가 있을까요?,무고
509,자백ㆍ자수에 대해 설명해 주세요.,자백ㆍ자수
510,자백ㆍ자수는 어떤 행위를 하면 성립하나요?,자백ㆍ자수
511,피해자가 원하지 않아도 자백ㆍ자수로 처벌되나요?,자백ㆍ자수
512,장례식등의 방해에 대한 처벌 수위는 어떻게 되나요?,장례식등의 방해
513,장례식등의 방해가 성립하지 않는 경우도 있나요?,장례식등의 방해
514,장례식등의 방해가 적용되는 조건은 무엇인가요?,장례식등의 방해
515,시체 등의 오욕에 해당하는 구체적인 예시가 있을까요?,시체 등의 오욕
516,시체 등의 오욕가 적용되는 조건은 무엇인가요?,시체 등의 오욕
517,시체 등의 오욕는 어떤 행위를 하면 성립하나요?,시체 등의 오욕
518,분묘의 발굴에 대해 설명해 주세요.,분묘의 발굴
519,분묘의 발굴에 대한 처벌 수위는 어떻게 되나요?,분묘의 발굴
520,분묘의 발굴는 실수로 해도 처벌되나요?,분묘의 발굴
521,시체 등의 유기 등에 대한 처벌 수위는 어떻게 되나요?,시체 등의 유기 등
522,시체 등의 유기 등는 어떤 행위를 하면 성립하나요?,시체 등의 유기 등
523,시체 등의 유기 등가 성립하지 않는 경우도 있나요?,시체 등의 유기 등
527,변사체 검시 방해에 대한 처벌 수위는 어떻게 되나요?,변사체 검시 방해
528,변사체 검시 방해가 성립하지 않는 경우도 있나요?,변사체 검시 방해
529,변사체 검시 방해는 어떤 행위를 하면 성립하나요?,변사체 검시 방해
530,현주건조물 등 방화는 실수로 해도 처벌되나요?,현주건조물 등 방화
531,현주건조물 등 방화는 어떤 행위를 하면 성립하나요?,현주건조물 등 방화
532,현주건조물 등 방화가 성립하지 않는 경우도 있나요?,현주건조물 등 방화
533,피해자가 원하지 않아도 공용건조물 등 방화로 처벌되나요?,공용건조물 등 방화
534,공용건조물 등 방화에 대해 설명해 주세요.,공용건조물 등 방화
535,공용건조물 등 방화는 실수로 해도 처벌되나요?,공용건조물 등 방화
536,일반건조물 등 방화에 해당하는 구체적인 예시가 있을까요?,일반건조물 등 방화
537,일반건조물 등 방화에 대한 처벌 수위는 어떻게 되나요?,일반건조물 등 방화
538,일반건조물 등 방화가 성립하지 않는 경우도 있나요?,일반건조물 등 방화
539,일반물건 방화는 실수로 해도 처벌되나요?,일반물건 방화
540,일반물건 방화가 성립하지 않는 경우도 있나요?,일반물건 방화
541,일반물건 방화에 대한 처벌 수위는 어떻게 되나요?,일반물건 방화
542,연소가 성립하지 않는 경우도 있나요?,연소
543,연소가 적용되는 조건은 무엇인가요?,연소
544,연소는 어떤 행위를 하면 성립하나요?,연소
545,진화방해에 해당하는 구체적인 예시가 있을까요?,진화방해
546,진화방해가 적용되는 조건은 무엇인가요?,진화방해
547,피해자가 원하지 않아도 진화방해로 처벌되나요?,진화방해
548,실화가 적용되는 조건은 무엇인가요?,실화
549,실화에 대해 설명해 주세요.,실화
550,피해자가 원하지 않아도 실화로 처벌되나요?,실화
551,"업무상실화, 중실화에 대해 설명해 주세요.","업무상실화, 중실화"
552,"업무상실화, 중실화가 적용되는 조건은 무엇인가요?","업무상실화, 중실화"
553,"피해자가 원하지 않아도 업무상실화, 중실화로 처벌되나요?","업무상실화, 중실화"
554,폭발성물건파열에 해당하는 구체적인 예시가 있을까요?,폭발성물건파열
555,폭발성물건파열가 적용되는 조건은 무엇인가요?,폭발성물건파열
556,폭발성물건파열는 실수로 해도 처벌되나요?,폭발성물건파열
557,가스ㆍ전기등 공급방해는 실수로 해도 처벌되나요?,가스ㆍ전기등 공급방해
558,가스ㆍ전기등 공급방해에 대한 처벌 수위는 어떻게 되나요?,가스ㆍ전기등 공급방해
559,가스ㆍ전기등 공급방해에 대해 설명해 주세요.,가스ㆍ전기등 공급방해
564,"예비, 음모가 성립하지 않는 경우도 있나요?","예비, 음모"
566,타인의 권리대상이 된 자기의 물건에 대해 설명해 주세요.,타인의 권리대상이 된 자기의 물건
567,피해자가 원하지 않아도 타인의 권리대상이 된 자기의 물건로 처벌되나요?,타인의 권리대상이 된 자기의 물건
568,타인의 권리대상이 된 자기의 물건는 어떤 행위를 하면 성립하나요?,타인의 권리대상이 된 자기의 물건
569,현주건조물등에의 일수가 적용되는 조건은 무엇인가요?,현주건조물등에의 일수
570,현주건조물등에의 일수는 실수로 해도 처벌되나요?,현주건조물등에의 일수
571,현주건조물등에의 일수가 성립하지 않는 경우도 있나요?,현주건조물등에의 일수
572,공용건조물 등에의 일수가 적용되는 조건은 무엇인가요?,공용건조물 등에의 일수
573,공용건조물 등에의 일수에 해당하는 구체적인 예시가 있을까요?,공용건조물 등에의 일수
574,공용건조물 등에의 일수에 대해 설명해 주세요.,공용건조물 등에의 일수
575,일반건조물 등에의 일수에 대해 설명해 주세요.,일반건조물 등에의 일수
576,일반건조물 등에의 일수는 실수로 해도 처벌되나요?,일반건조물 등에의 일수
577,일반건조물 등에의 일수가 적용되는 조건은 무엇인가요?,일반건조물 등에의 일수
578,방수방해에 대한 처벌 수위는 어떻게 되나요?,방수방해
579,피해자가 원하지 않아도 방수방해로 처벌되나요?,방수방해
580,방수방해에 대해 설명해 주세요.,방수방해
581,과실일수에 해당하는 구체적인 예시가 있을까요?,과실일수
582,과실일수에 대한 처벌 수위는 어떻게 되나요?,과실일수
583,피해자가 원하지 않아도 과실일수로 처벌되나요?,과실일수
589,"피해자가 원하지 않아도 예비, 음모로 처벌되나요?","예비, 음모"
590,수리방해에 해당하는 구체적인 예시가 있을까요?,수리방해
591,수리방해는 어떤 행위를 하면 성립하나요?,수리방해
592,수리방해에 대한 처벌 수위는 어떻게 되나요?,수리방해
593,피해자가 원하지 않아도 일반교통방해로 처벌되나요?,일반교통방해
594,일반교통방해에 대해 설명해 주세요.,일반교통방해
595,일반교통방해가 적용되는 조건은 무엇인가요?,일반교통방해
596,"피해자가 원하지 않아도 기차, 선박 등의 교통방해로 처벌되나요?","기차, 선박 등의 교통방해"
597,"기차, 선박 등의 교통방해가 적용되는 조건은 무엇인가요?","기차, 선박 등의 교통방해"
598,"기차, 선박 등의 교통방해에 해당하는 구체적인 예시가 있을까요?","기차, 선박 등의 교통방해"
599,기차 등의 전복 등가 적용되는 조건은 무엇인가요?,기차 등의 전복 등
600,기차 등의 전복 등에 대해 설명해 주세요.,기차 등의 전복 등
601,기차 등의 전복 등는 어떤 행위를 하면 성립하나요?,기차 등의 전복 등
602,교통방해치사상가 적용되는 조건은 무엇인가요?,교통방해치사상
603,교통방해치사상는 어떤 행위를 하면 성립하나요?,교통방해치사상
604,피해자가 원하지 않아도 교통방해치사상로 처벌되나요?,교통방해치사상
605,"과실, 업무상과실, 중과실는 실수로 해도 처벌되나요?","과실, 업무상과실, 중과실"
606,"과실, 업무상과실, 중과실가 적용되는 조건은 무엇인가요?","과실, 업무상과실, 중과실"
607,"과실, 업무상과실, 중과실에 해당하는 구체적인 예시가 있을까요?","과실, 업무상과실, 중과실"
614,먹는 물의 사용방해가 성립하지 않는 경우도 있나요?,먹는 물의 사용방해
615,먹는 물의 사용방해가 적용되는 조건은 무엇인가요?,먹는 물의 사용방해
616,먹는 물의 사용방해에 대한 처벌 수위는 어떻게 되나요?,먹는 물의 사용방해
617,피해자가 원하지 않아도 수돗물의 사용방해로 처벌되나요?,수돗물의 사용방해
618,수돗물의 사용방해는 실수로 해도 처벌되나요?,수돗물의 사용방해
619,수돗물의 사용방해가 성립하지 않는 경우도 있나요?,수돗물의 사용방해
620,먹는 물 혼독치사상에 해당하는 구체적인 예시가 있을까요?,먹는 물 혼독치사상
621,먹는 물 혼독치사상에 대한 처벌 수위는 어떻게 되나요?,먹는 물 혼독치사상
622,먹는 물 혼독치사상에 대해 설명해 주세요.,먹는 물 혼독치사상
623,수도불통는 실수로 해도 처벌되나요?,수도불통
624,수도불통가 적용되는 조건은 무엇인가요?,수도불통
625,수도불통에 대해 설명해 주세요.,수도불통
631,"예비, 음모에 해당하는 구체적인 예시가 있을까요?","예비, 음모"
632,피해자가 원하지 않아도 아편 등의 제조 등로 처벌되나요?,아편 등의 제조 등
633,아편 등의 제조 등는 실수로 해도 처벌되나요?,아편 등의 제조 등
634,아편 등의 제조 등에 해당하는 구체적인 예시가 있을까요?,아편 등의 제조 등
635,아편흡식기의 제조 등에 대한 처벌 수위는 어떻게 되나요?,아편흡식기의 제조 등
636,아편흡식기의 제조 등는 실수로 해도 처벌되나요?,아편흡식기의 제조 등
637,피해자가 원하지 않아도 아편흡식기의 제조 등로 처벌되나요?,아편흡식기의 제조 등
638,피해자가 원하지 않아도 세관 공무원의 아편 등의 수입로 처벌되나요?,세관 공무원의 아편 등의 수입
639,세관 공무원의 아편 등의 수입에 해당하는 구체적인 예시가 있을까요?,세관 공무원의 아편 등의 수입
640,세관 공무원의 아편 등의 수입에 대한 처벌 수위는 어떻게 되나요?,세관 공무원의 아편 등의 수입
641,"피해자가 원하지 않아도 아편흡식 등, 동장소제공로 처벌되나요?","아편흡식 등, 동장소제공"
642,"아편흡식 등, 동장소제공는 어떤 행위를 하면 성립하나요?","아편흡식 등, 동장소제공"
643,"아편흡식 등, 동장소제공가 적용되는 조건은 무엇인가요?","아편흡식 등, 동장소제공"
647,상습범는 어떤 행위를 하면 성립하나요?,상습범
648,상습범에 해당하는 구체적인 예시가 있을까요?,상습범
649,상습범가 성립하지 않는 경우도 있나요?,상습범
650,자격정지 또는 벌금의 병과가 적용되는 조건은 무엇인가요?,자격정지 또는 벌금의 병과
651,자격정지 또는 벌금의 병과는 어떤 행위를 하면 성립하나요?,자격정지 또는 벌금의 병과
652,자격정지 또는 벌금의 병과가 성립하지 않는 경우도 있나요?,자격정지 또는 벌금의 병과
653,아편 등의 소지에 대한 처벌 수위는 어떻게 되나요?,아편 등의 소지
654,피해자가 원하지 않아도 아편 등의 소지로 처벌되나요?,아편 등의 소지
655,아편 등의 소지가 성립하지 않는 경우도 있나요?,아편 등의 소지
656,"몰수, 추징에 대해 설명해 주세요.","몰수, 추징"
658,"몰수, 추징에 해당하는 구체적인 예시가 있을까요?","몰수, 추징"
659,통화의 위조 등에 대한 처벌 수위는 어떻게 되나요?,통화의 위조 등
660,피해자가 원하지 않아도 통화의 위조 등로 처벌되나요?,통화의 위조 등
661,통화의 위조 등가 성립하지 않는 경우도 있나요?,통화의 위조 등
662,위조통화의 취득에 대해 설명해 주세요.,위조통화의 취득
663,위조통화의 취득에 대한 처벌 수위는 어떻게 되나요?,위조통화의 취득
664,위조통화의 취득에 해당하는 구체적인 예시가 있을까요?,위조통화의 취득
665,자격정지 또는 벌금의 병과에 대한 처벌 수위는 어떻게 되나요?,자격정지 또는 벌금의 병과
667,자격정지 또는 벌금의 병과에 대해 설명해 주세요.,자격정지 또는 벌금의 병과
668,위조통화 취득 후의 지정행사가 성립하지 않는 경우도 있나요?,위조통화 취득 후의 지정행사
669,위조통화 취득 후의 지정행사에 해당하는 구체적인 예시가 있을까요?,위조통화 취득 후의 지정행사
670,위조통화 취득 후의 지정행사에 대한 처벌 수위는 어떻게 되나요?,위조통화 취득 후의 지정행사
671,통화유사물의 제조 등가 적용되는 조건은 무엇인가요?,통화유사물의 제조 등
672,통화유사물의 제조 등에 대한 처벌 수위는 어떻게 되나요?,통화유사물의 제조 등
673,통화유사물의 제조 등는 실수로 해도 처벌되나요?,통화유사물의 제조 등
680,유가증권의 위조 등는 어떤 행위를 하면 성립하나요?,유가증권의 위조 등
681,유가증권의 위조 등는 실수로 해도 처벌되나요?,유가증권의 위조 등
682,유가증권의 위조 등가 성립하지 않는 경우도 있나요?,유가증권의 위조 등
683,자격모용에 의한 유가증권의 작성가 적용되는 조건은 무엇인가요?,자격모용에 의한 유가증권의 작성
684,자격모용에 의한 유가증권의 작성는 실수로 해도 처벌되나요?,자격모용에 의한 유가증권의 작성
685,자격모용에 의한 유가증권의 작성에 대한 처벌 수위는 어떻게 되나요?,자격모용에 의한 유가증권의 작성
686,허위유가증권의 작성 등가 성립하지 않는 경우도 있나요?,허위유가증권의 작성 등
687,허위유가증권의 작성 등에 해당하는 구체적인 예시가 있을까요?,허위유가증권의 작성 등
688,허위유가증권의 작성 등에 대한 처벌 수위는 어떻게 되나요?,허위유가증권의 작성 등
689,피해자가 원하지 않아도 위조유가증권 등의 행사 등로 처벌되나요?,위조유가증권 등의 행사 등
690,위조유가증권 등의 행사 등에 대해 설명해 주세요.,위조유가증권 등의 행사 등
691,위조유가증권 등의 행사 등는 어떤 행위를 하면 성립하나요?,위조유가증권 등의 행사 등
692,인지ㆍ우표의 위조등가 성립하지 않는 경우도 있나요?,인지ㆍ우표의 위조등
693,인지ㆍ우표의 위조등에 해당하는 구체적인 예시가 있을까요?,인지ㆍ우표의 위조등
694,피해자가 원하지 않아도 인지ㆍ우표의 위조등로 처벌되나요?,인지ㆍ우표의 위조등
695,위조인지ㆍ우표등의 취득에 해당하는 구체적인 예시가 있을까요?,위조인지ㆍ우표등의 취득
696,위조인지ㆍ우표등의 취득에 대한 처벌 수위는 어떻게 되나요?,위조인지ㆍ우표등의 취득
697,위조인지ㆍ우표등의 취득에 대해 설명해 주세요.,위조인지ㆍ우표등의 취득
698,피해자가 원하지 않아도 자격정지 또는 벌금의 병과로 처벌되나요?,자격정지 또는 벌금의 병과
701,소인말소에 대해 설명해 주세요.,소인말소
702,소인말소가 성립하지 않는 경우도 있나요?,소인말소
703,피해자가 원하지 않아도 소인말소로 처벌되나요?,소인말소
704,피해자가 원하지 않아도 인지ㆍ우표유사물의 제조 등로 처벌되나요?,인지ㆍ우표유사물의 제조 등
705,인지ㆍ우표유사물의 제조 등는 어떤 행위를 하면 성립하나요?,인지ㆍ우표유사물의 제조 등
706,인지ㆍ우표유사물의 제조 등에 해당하는 구체적인 예시가 있을까요?,인지ㆍ우표유사물의 제조 등
713,공문서등의 위조ㆍ변조는 어떤 행위를 하면 성립하나요?,공문서등의 위조ㆍ변조
714,공문서등의 위조ㆍ변조에 대한 처벌 수위는 어떻게 되나요?,공문서등의 위조ㆍ변조
715,공문서등의 위조ㆍ변조가 적용되는 조건은 무엇인가요?,공문서등의 위조ㆍ변조
716,자격모용에 의한 공문서 등의 작성는 어떤 행위를 하면 성립하나요?,자격모용에 의한 공문서 등의 작성
717,자격모용에 의한 공문서 등의 작성가 성립하지 않는 경우도 있나요?,자격모용에 의한 공문서 등의 작성
718,자격모용에 의한 공문서 등의 작성에 대한 처벌 수위는 어떻게 되나요?,자격모용에 의한 공문서 등의 작성
719,허위공문서작성등가 적용되는 조건은 무엇인가요?,허위공문서작성등
720,허위공문서작성등에 해당하는 구체적인 예시가 있을까요?,허위공문서작성등
721,허위공문서작성등는 어떤 행위를 하면 성립하나요?,허위공문서작성등
722,공정증서원본 등의 부실기재에 대해 설명해 주세요.,공정증서원본 등의 부실기재
723,공정증서원본 등의 부실기재는 어떤 행위를 하면 성립하나요?,공정증서원본 등의 부실기재
724,피해자가 원하지 않아도 공정증서원본 등의 부실기재로 처벌되나요?,공정증서원본 등의 부실기재
725,위조등 공문서의 행사에 대해 설명해 주세요.,위조등 공문서의 행사
726,위조등 공문서의 행사에 대한 처벌 수위는 어떻게 되나요?,위조등 공문서의 행사
727,위조등 공문서의 행사에 해당하는 구체적인 예시가 있을까요?,위조등 공문서의 행사
728,공문서 등의 부정행사가 성립하지 않는 경우도 있나요?,공문서 등의 부정행사
729,공문서 등의 부정행사에 대한 처벌 수위는 어떻게 되나요?,공문서 등의 부정행사
730,피해자가 원하지 않아도 공문서 등의 부정행사로 처벌되나요?,공문서 등의 부정행사
731,사문서등의 위조ㆍ변조에 대해 설명해 주세요.,사문서등의 위조ㆍ변조
732,사문서등의 위조ㆍ변조에 대한 처벌 수위는 어떻게 되나요?,사문서등의 위조ㆍ변조
733,사문서등의 위조ㆍ변조는 실수로 해도 처벌되나요?,사문서등의 위조ㆍ변조
734,자격모용에 의한 사문서의 작성는 어떤 행위를 하면 성립하나요?,자격모용에 의한 사문서의 작성
735,피해자가 원하지 않아도 자격모용에 의한 사문서의 작성로 처벌되나요?,자격모용에 의한 사문서의 작성
736,자격모용에 의한 사문서의 작성에 대한 처벌 수위는 어떻게 되나요?,자격모용에 의한 사문서의 작성
737,허위진단서등의 작성는 어떤 행위를 하면 성립하나요?,허위진단서등의 작성
738,허위진단서등의 작성가 성립하지 않는 경우도 있나요?,허위진단서등의 작성
739,허위진단서등의 작성는 실수로 해도 처벌되나요?,허위진단서등의 작성
740,피해자가 원하지 않아도 위조사문서등의 행사로 처벌되나요?,위조사문서등의 행사
741,위조사문서등의 행사는 실수로 해도 처벌되나요?,위조사문서등의 행사
742,위조사문서등의 행사가 성립하지 않는 경우도 있나요?,위조사문서등의 행사
746,사문서의 부정행사에 대해 설명해 주세요.,사문서의 부정행사
747,사문서의 부정행사에 해당하는 구체적인 예시가 있을까요?,사문서의 부정행사
748,사문서의 부정행사는 실수로 해도 처벌되나요?,사문서의 부정행사
749,피해자가 원하지 않아도 자격정지의 병과로 처벌되나요?,자격정지의 병과
750,자격정지의 병과에 해당하는 구체적인 예시가 있을까요?,자격정지의 병과
751,자격정지의 병과가 적용되는 조건은 무엇인가요?,자격정지의 병과
752,"공인 등의 위조, 부정사용는 실수로 해도 처벌되나요?","공인 등의 위조, 부정사용"
753,"공인 등의 위조, 부정사용가 적용되는 조건은 무엇인가요?","공인 등의 위조, 부정사용"
754,"공인 등의 위조, 부정사용에 대한 처벌 수위는 어떻게 되나요?","공인 등의 위조, 부정사용"
